Name;LO;Tune;Mode;SrateOut;StartFreq;StopFreq;TuneStep
2200m;;136750;CW;12000;135700;137800;100
LW;;216000;AM;12000;153000;279000;9000
630m;;475000;CW;12000;472000;479000;100
MW;;945000;AM;12000;522000;1611000;9000
160m;;1905000;LSB;12000;1810000;2000000;500
120m;;2400000;AM;12000;2300000;2498000;5000
90m;;3300000;AM;12000;3200000;3400000;5000
80m;;3650000;LSB;12000;3500000;3800000;500
75m;;3980000;AM;12000;3950000;4000000;5000
60m;;4905000;AM;12000;4750000;5060000;5000
60m;;5354000;USB;12000;5351500;5366500;500
49m;;6070000;AM;12000;5900000;6200000;5000
41m;;7275000;AM;12000;7200000;7450000;5000
40m;;7070000;LSB;12000;7000000;7200000;500
31m;;9650000;AM;12000;9400000;9900000;5000
30m;;10125000;CW;12000;10100000;10150000;100
25m;;11650000;AM;12000;11600000;12100000;5000
22m;;13710000;AM;12000;13570000;13870000;5000
20m;;14200000;USB;12000;14000000;14350000;500
19m;;15400000;AM;12000;15100000;15800000;5000
17m;;18118000;USB;12000;18068000;18168000;500
16m;;17540000;AM;12000;17480000;17900000;5000
15m;;18960000;AM;12000;18900000;19020000;5000
15m;;21225000;USB;12000;21000000;21450000;500
13m;;21465000;AM;12000;21450000;21850000;5000
12m;;24940000;USB;12000;24890000;24990000;500
11m;;25850000;AM;12000;25670000;26100000;5000
CB;;26965000;FM;12000;26565000;27405000;10000
10m;28495000;28495000;USB;12000;28000000;29700000;500
6m;;50500000;USB;12000;50000000;52000000;500
4m;;70300000;FM;12000;70000000;70500000;500
FM;;101200000;FM;96000;87500000;108000000;100000
Air;;133500000;AM;12000;117975000;137000000;8333
2m;;145600000;FM;12000;144000000;146000000;12500
70cm;;439000000;FM;12000;430000000;440000000;12500
23cm;;1250000000;FM;12000;1240000000;1300000000;12500
13cm;;2400000000;FM;12000;2300000000;2450000000;25000
9cm;;3400000000;FM;12000;3300000000;3475000000;25000
5cm;;5750000000;FM;12000;5650000000;5850000000;25000 
3cm;;10489800000;USB;12000;10000000000;10500000000;500
12mm;;24125000000;FM;12000;24000000000;24250000000;25000
6mm;;47100000000;FM;12000;47000000000;47200000000;25000
4mm;;76000000000;FM;12000;75500000000;81500000000;25000
