   118000000; 1                        ; AM                  ;       8330; Airband
   118025000; 2                        ; AM                  ;       8330; Airband
   118050000; 3                        ; AM                  ;       8330; Airband
   118075000; 4                        ; AM                  ;       8330; Airband
   118100000; 5                        ; AM                  ;       8330; Airband
   118125000; 6                        ; AM                  ;       8330; Airband
   118150000; 7                        ; AM                  ;       8330; Airband
   118175000; 8                        ; AM                  ;       8330; Airband
   118200000; 9 SLL TWR                ; AM                  ;       8330; Airband
   118225000; 10                       ; AM                  ;       8330; Airband
   118250000; 11 RKT TWR               ; AM                  ;       8330; Airband
   118275000; 12                       ; AM                  ;       8330; Airband
   118300000; 13                       ; AM                  ;       8330; Airband
   118325000; 14                       ; AM                  ;       8330; Airband
   118350000; 15 DXB GND               ; AM                  ;       8330; Airband
   118375000; 16 DWC GND               ; AM                  ;       8330; Airband
   118400000; 17 MCT TWR               ; AM                  ;       8330; Airband
   118425000; 18                       ; AM                  ;       8330; Airband
   118450000; 19 KIH TWR               ; AM                  ;       8330; Airband
   118475000; 20                       ; AM                  ;       8330; Airband
   118500000; 21                       ; AM                  ;       8330; Airband
   118525000; 22                       ; AM                  ;       8330; Airband
   118550000; 23                       ; AM                  ;       8330; Airband
   118575000; 24                       ; AM                  ;       8330; Airband
   118600000; 25 SHJ TWR               ; AM                  ;       8330; Airband
   118625000; 26                       ; AM                  ;       8330; Airband
   118650000; 27                       ; AM                  ;       8330; Airband
   118675000; 28                       ; AM                  ;       8330; Airband
   118700000; 29                       ; AM                  ;       8330; Airband
   118725000; 30                       ; AM                  ;       8330; Airband
   118750000; 31 DXB TWR               ; AM                  ;       8330; Airband
   118775000; 32                       ; AM                  ;       8330; Airband
   118800000; 33                       ; AM                  ;       8330; Airband
   118825000; 34                       ; AM                  ;       8330; Airband
   118850000; 35                       ; AM                  ;       8330; Airband
   118875000; 36                       ; AM                  ;       8330; Airband
   118900000; 37                       ; AM                  ;       8330; Airband
   118925000; 38                       ; AM                  ;       8330; Airband
   118950000; 39                       ; AM                  ;       8330; Airband
   118975000; 40                       ; AM                  ;       8330; Airband
   119000000; 41                       ; AM                  ;       8330; Airband
   119025000; 42                       ; AM                  ;       8330; Airband
   119050000; 43                       ; AM                  ;       8330; Airband
   119075000; 44                       ; AM                  ;       8330; Airband
   119100000; 45 SLL APP               ; AM                  ;       8330; Airband
   119125000; 46                       ; AM                  ;       8330; Airband
   119150000; 47                       ; AM                  ;       8330; Airband
   119175000; 48                       ; AM                  ;       8330; Airband
   119200000; 49 AUH TWR               ; AM                  ;       8330; Airband
   119225000; 50                       ; AM                  ;       8330; Airband
   119250000; 51                       ; AM                  ;       8330; Airband
   119275000; 52                       ; AM                  ;       8330; Airband
   119300000; 53                       ; AM                  ;       8330; Airband
   119325000; 54                       ; AM                  ;       8330; Airband
   119350000; 55                       ; AM                  ;       8330; Airband
   119375000; 56                       ; AM                  ;       8330; Airband
   119400000; 57                       ; AM                  ;       8330; Airband
   119425000; 58                       ; AM                  ;       8330; Airband
   119450000; 59 FJR GND               ; AM                  ;       8330; Airband
   119475000; 60                       ; AM                  ;       8330; Airband
   119500000; 61                       ; AM                  ;       8330; Airband
   119525000; 62                       ; AM                  ;       8330; Airband
   119550000; 63 DXB GND               ; AM                  ;       8330; Airband
   119575000; 64                       ; AM                  ;       8330; Airband
   119600000; 65                       ; AM                  ;       8330; Airband
   119625000; 66                       ; AM                  ;       8330; Airband
   119650000; 67                       ; AM                  ;       8330; Airband
   119675000; 68                       ; AM                  ;       8330; Airband
   119700000; 69                       ; AM                  ;       8330; Airband
   119725000; 70                       ; AM                  ;       8330; Airband
   119750000; 71                       ; AM                  ;       8330; Airband
   119775000; 72                       ; AM                  ;       8330; Airband
   119800000; 73                       ; AM                  ;       8330; Airband
   119825000; 74                       ; AM                  ;       8330; Airband
   119850000; 75 AAN APP TWR           ; AM                  ;       8330; Airband
   119875000; 76                       ; AM                  ;       8330; Airband
   119900000; 77                       ; AM                  ;       8330; Airband
   119925000; 78                       ; AM                  ;       8330; Airband
   119950000; 79                       ; AM                  ;       8330; Airband
   119975000; 80                       ; AM                  ;       8330; Airband
   120000000; 81                       ; AM                  ;       8330; Airband
   120025000; 82                       ; AM                  ;       8330; Airband
   120050000; 83                       ; AM                  ;       8330; Airband
   120075000; 84                       ; AM                  ;       8330; Airband
   120100000; 85                       ; AM                  ;       8330; Airband
   120125000; 86                       ; AM                  ;       8330; Airband
   120150000; 87                       ; AM                  ;       8330; Airband
   120175000; 88                       ; AM                  ;       8330; Airband
   120200000; 89                       ; AM                  ;       8330; Airband
   120225000; 90                       ; AM                  ;       8330; Airband
   120250000; 91                       ; AM                  ;       8330; Airband
   120275000; 92                       ; AM                  ;       8330; Airband
   120300000; 93                       ; AM                  ;       8330; Airband
   120325000; 94                       ; AM                  ;       8330; Airband
   120350000; 95                       ; AM                  ;       8330; Airband
   120375000; 96                       ; AM                  ;       8330; Airband
   120400000; 97                       ; AM                  ;       8330; Airband
   120425000; 98                       ; AM                  ;       8330; Airband
   120450000; 99                       ; AM                  ;       8330; Airband
   120475000; 100                      ; AM                  ;       8330; Airband
   120500000; 101                      ; AM                  ;       8330; Airband
   120525000; 102                      ; AM                  ;       8330; Airband
   120550000; 103                      ; AM                  ;       8330; Airband
   120575000; 104                      ; AM                  ;       8330; Airband
   120600000; 105                      ; AM                  ;       8330; Airband
   120625000; 106                      ; AM                  ;       8330; Airband
   120650000; 107                      ; AM                  ;       8330; Airband
   120675000; 108                      ; AM                  ;       8330; Airband
   120700000; 109                      ; AM                  ;       8330; Airband
   120725000; 110                      ; AM                  ;       8330; Airband
   120750000; 111                      ; AM                  ;       8330; Airband
   120775000; 112                      ; AM                  ;       8330; Airband
   120800000; 113                      ; AM                  ;       8330; Airband
   120825000; 114                      ; AM                  ;       8330; Airband
   120850000; 115                      ; AM                  ;       8330; Airband
   120875000; 116                      ; AM                  ;       8330; Airband
   120900000; 117 DXB                  ; AM                  ;       8330; Airband
   120925000; 118                      ; AM                  ;       8330; Airband
   120950000; 119                      ; AM                  ;       8330; Airband
   120975000; 120                      ; AM                  ;       8330; Airband
   121000000; 121                      ; AM                  ;       8330; Airband
   121025000; 122 DXB Dep              ; AM                  ;       8330; Airband
   121050000; 123                      ; AM                  ;       8330; Airband
   121075000; 124                      ; AM                  ;       8330; Airband
   121100000; 125                      ; AM                  ;       8330; Airband
   121125000; 126                      ; AM                  ;       8330; Airband
   121150000; 127                      ; AM                  ;       8330; Airband
   121175000; 128                      ; AM                  ;       8330; Airband
   121200000; 129 MCT APP DEP          ; AM                  ;       8330; Airband
   121225000; 130                      ; AM                  ;       8330; Airband
   121250000; 131                      ; AM                  ;       8330; Airband
   121275000; 132                      ; AM                  ;       8330; Airband
   121300000; 133                      ; AM                  ;       8330; Airband
   121325000; 134                      ; AM                  ;       8330; Airband
   121350000; 135                      ; AM                  ;       8330; Airband
   121375000; 136                      ; AM                  ;       8330; Airband
   121400000; 137                      ; AM                  ;       8330; Airband
   121425000; 138                      ; AM                  ;       8330; Airband
   121450000; 139                      ; AM                  ;       8330; Airband
   121475000; 140                      ; AM                  ;       8330; Airband
   121500000; 141                      ; AM                  ;       8330; Airband
   121525000; 142                      ; AM                  ;       8330; Airband
   121550000; 143                      ; AM                  ;       8330; Airband
   121575000; 144                      ; AM                  ;       8330; Airband
   121600000; 145 RKT GND              ; AM                  ;       8330; Airband
   121625000; 146                      ; AM                  ;       8330; Airband
   121650000; 147 DXB GND              ; AM                  ;       8330; Airband
   121675000; 148                      ; AM                  ;       8330; Airband
   121700000; 149                      ; AM                  ;       8330; Airband
   121725000; 150 DAPI                 ; AM                  ;       8330; Airband
   121750000; 151                      ; AM                  ;       8330; Airband
   121775000; 152                      ; AM                  ;       8330; Airband
   121800000; 153                      ; AM                  ;       8330; Airband
   121825000; 154                      ; AM                  ;       8330; Airband
   121850000; 155                      ; AM                  ;       8330; Airband
   121875000; 156 SHJ GND              ; AM                  ;       8330; Airband
   121900000; 157                      ; AM                  ;       8330; Airband
   121925000; 158                      ; AM                  ;       8330; Airband
   121950000; 159                      ; AM                  ;       8330; Airband
   121975000; 160                      ; AM                  ;       8330; Airband
   122000000; 161                      ; AM                  ;       8330; Airband
   122025000; 162                      ; AM                  ;       8330; Airband
   122050000; 163                      ; AM                  ;       8330; Airband
   122075000; 164                      ; AM                  ;       8330; Airband
   122100000; 165                      ; AM                  ;       8330; Airband
   122125000; 166                      ; AM                  ;       8330; Airband
   122150000; 167                      ; AM                  ;       8330; Airband
   122175000; 168                      ; AM                  ;       8330; Airband
   122200000; 169                      ; AM                  ;       8330; Airband
   122225000; 170                      ; AM                  ;       8330; Airband
   122250000; 171                      ; AM                  ;       8330; Airband
   122275000; 172                      ; AM                  ;       8330; Airband
   122300000; 173                      ; AM                  ;       8330; Airband
   122325000; 174                      ; AM                  ;       8330; Airband
   122350000; 175                      ; AM                  ;       8330; Airband
   122375000; 176                      ; AM                  ;       8330; Airband
   122400000; 177 SHJ ATIS             ; AM                  ;       8330; Airband
   122425000; 178                      ; AM                  ;       8330; Airband
   122450000; 179                      ; AM                  ;       8330; Airband
   122475000; 180                      ; AM                  ;       8330; Airband
   122500000; 181                      ; AM                  ;       8330; Airband
   122525000; 182                      ; AM                  ;       8330; Airband
   122550000; 183                      ; AM                  ;       8330; Airband
   122575000; 184                      ; AM                  ;       8330; Airband
   122600000; 185                      ; AM                  ;       8330; Airband
   122625000; 186                      ; AM                  ;       8330; Airband
   122650000; 187                      ; AM                  ;       8330; Airband
   122675000; 188                      ; AM                  ;       8330; Airband
   122700000; 189                      ; AM                  ;       8330; Airband
   122725000; 190                      ; AM                  ;       8330; Airband
   122750000; 191                      ; AM                  ;       8330; Airband
   122775000; 192                      ; AM                  ;       8330; Airband
   122800000; 193                      ; AM                  ;       8330; Airband
   122825000; 194                      ; AM                  ;       8330; Airband
   122850000; 195                      ; AM                  ;       8330; Airband
   122875000; 196                      ; AM                  ;       8330; Airband
   122900000; 197                      ; AM                  ;       8330; Airband
   122925000; 198                      ; AM                  ;       8330; Airband
   122950000; 199                      ; AM                  ;       8330; Airband
   122975000; 200                      ; AM                  ;       8330; Airband
   123000000; 201                      ; AM                  ;       8330; Airband
   123025000; 202                      ; AM                  ;       8330; Airband
   123050000; 203                      ; AM                  ;       8330; Airband
   123075000; 204                      ; AM                  ;       8330; Airband
   123100000; 205                      ; AM                  ;       8330; Airband
   123125000; 206                      ; AM                  ;       8330; Airband
   123150000; 207                      ; AM                  ;       8330; Airband
   123175000; 208                      ; AM                  ;       8330; Airband
